,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
55,Eritrea,18,0,0,0.8099999999999999
56,Estonia,224,194,59,88.704
57,Ethiopia,20,3,0,2.01
58,Fiji,77,35,1,16.531
59,Finland,263,133,97,72.297
60,France,127,151,370,104.505
61,Gabon,347,98,59,58.719
62,Gambia,8,0,1,0.476
63,Georgia,52,100,149,56.624
64,Germany,346,117,175,79.16
65,Ghana,31,3,10,3.665
66,Greece,133,112,218,72.713
67,Grenada,199,438,28,174.263
68,Guatemala,53,69,2,28.147
69,Guinea,9,0,2,0.637
70,Guinea-Bissau,28,31,21,15.166
71,Guyana,93,302,1,116.041
72,Haiti,1,326,1,120.781
73,Honduras,69,98,2,39.596999999999994
74,Hungary,234,215,185,111.53999999999999
75,Iceland,233,61,78,42.103
76,India,9,114,0,42.585
77,Indonesia,5,1,0,0.595
78,Iran,0,0,0,0.0
79,Iraq,9,3,0,1.515
80,Ireland,313,118,165,76.88499999999999
81,Israel,63,69,9,29.409000000000002
82,Italy,85,42,237,46.857
83,Jamaica,82,97,9,40.623999999999995
84,Japan,77,202,16,80.06099999999999
85,Jordan,6,21,1,8.155999999999999
86,Kazakhstan,124,246,12,97.99199999999999
87,Kenya,58,22,2,10.982
88,Kiribati,21,34,1,13.641
89,Kuwait,0,0,0,0.0
90,Kyrgyzstan,31,97,6,37.981
91,Laos,62,0,123,17.058
92,Latvia,281,216,62,99.75699999999999
93,Lebanon,20,55,31,24.846
94,Lesotho,82,29,0,14.42
95,Liberia,19,152,2,57.327
96,Libya,0,0,0,0.0
97,Lithuania,343,244,56,112.211
98,Luxembourg,236,133,271,91.26599999999999
99,Macedonia,106,27,86,24.735999999999997
100,Madagascar,26,15,4,7.183999999999999
101,Malawi,8,11,1,4.546
102,Malaysia,13,4,0,2.065
103,Maldives,0,0,0,0.0
104,Mali,5,1,1,0.711
105,Malta,149,100,120,57.625
106,Marshall Islands,0,0,0,0.0
107,Mauritania,0,0,0,0.0
108,Mauritius,98,31,18,17.968
109,Mexico,238,68,5,36.449999999999996
110,Micronesia,62,50,18,23.378
111,Moldova,109,226,18,90.613
112,Monaco,0,0,0,0.0
113,Mongolia,77,189,8,74.323
114,Montenegro,31,114,128,58.423
115,Morocco,12,6,10,3.92
116,Mozambique,47,18,5,9.355
117,Myanmar,5,1,0,0.595
118,Namibia,376,3,1,18.145999999999997
119,Nauru,49,0,8,3.133
120,Nepal,5,6,0,2.445
121,Netherlands,251,88,190,65.89500000000001
122,New Zealand,203,79,175,58.665
123,Nicaragua,78,118,1,47.285999999999994
124,Niger,3,2,1,0.991
125,Nigeria,42,5,2,3.9720000000000004
126,Niue,188,200,7,83.27199999999999
127,North Korea,0,0,0,0.0
128,Norway,169,71,129,48.839
129,Oman,22,16,1,7.026
130,Pakistan,0,0,0,0.0
131,Palau,306,63,23,39.748
132,Panama,285,104,18,53.392999999999994
133,Papua New Guinea,44,39,1,16.526
134,Paraguay,213,117,74,61.459
135,Peru,163,160,21,68.971
136,Philippines,71,186,1,72.13099999999999
137,Poland,343,215,56,101.481
138,Portugal,194,67,339,72.844
139,Qatar,1,42,7,16.397
140,Romania,297,122,167,77.87700000000001
141,Russian Federation,247,326,73,140.203
142,Rwanda,43,2,0,2.675
143,Samoa,105,18,24,14.169
144,San Marino,0,0,0,0.0
145,Sao Tome & Principe,56,38,140,32.82
146,Saudi Arabia,0,5,0,1.85
147,Senegal,9,1,7,1.5869999999999997
148,Serbia,283,131,127,75.937
149,Seychelles,157,25,51,22.230999999999998
150,Sierra Leone,25,3,2,2.4669999999999996
151,Singapore,60,12,11,8.415999999999999
152,Slovakia,196,293,116,130.68599999999998
153,Slovenia,270,51,276,63.036
154,Solomon Islands,56,11,1,6.7059999999999995
155,Somalia,0,0,0,0.0
156,South Africa,225,76,81,47.641000000000005
157,South Korea,140,16,9,13.264
158,Spain,284,157,112,83.862
159,Sri Lanka,16,104,0,39.199999999999996
160,St. Kitts & Nevis,194,205,32,88.292
161,St. Lucia,171,315,71,132.481
162,St. Vincent & the Grenadines,120,221,11,88.446
163,Sudan,8,13,0,5.17
164,Suriname,128,178,7,72.432
165,Swaziland,90,2,2,5.022
166,Sweden,152,60,186,50.616
167,Switzerland,185,100,280,77.805
168,Syria,5,35,16,15.030999999999999
169,Tajikistan,2,15,0,5.64
170,Tanzania,36,6,1,3.956
171,Thailand,99,258,1,100.03099999999999
172,Timor-Leste,1,1,4,0.879
173,Togo,36,2,19,4.564
174,Tonga,36,21,5,9.969999999999999
175,Trinidad & Tobago,197,156,7,67.39699999999999
176,Tunisia,51,3,20,5.725
177,Turkey,51,22,7,11.247
178,Turkmenistan,19,71,32,30.837
179,Tuvalu,6,41,9,16.483999999999998
180,Uganda,45,9,0,5.355
181,Ukraine,206,237,45,102.17999999999999
182,United Arab Emirates,16,135,5,51.25
183,United Kingdom,219,126,195,79.095
184,Uruguay,115,35,220,43.644999999999996
185,USA,249,158,84,79.409
186,Uzbekistan,25,101,8,39.422999999999995
187,Vanuatu,21,18,11,8.881
188,Venezuela,333,100,3,52.333
189,Vietnam,111,2,1,5.851
190,Yemen,6,0,0,0.27
191,Zambia,32,19,4,8.934000000000001
192,Zimbabwe,64,18,4,10.004
